N,snv_offset,delta,lflank,n_loci,frac_T,frac_D
5,2,-3,9,5420,0.00018450184501845018,0.0
5,2,-3,10,5420,0.00018450184501845018,0.0
5,2,-2,2,5420,0.3359778597785978,0.032103321033210334
5,2,-2,3,5420,0.15350553505535056,0.008118081180811807
5,2,-2,4,5420,0.06420664206642067,0.0018450184501845018
5,2,-2,5,5420,0.026568265682656828,0.00036900369003690036
5,2,-2,6,5420,0.010701107011070111,0.0
5,2,-2,7,5420,0.004797047970479705,0.0
5,2,-2,8,5420,0.0009225092250922509,0.0
5,2,-2,9,5420,0.00018450184501845018,0.0
5,2,-2,10,5420,0.00018450184501845018,0.0
5,2,-1,2,5420,0.3359778597785978,0.032103321033210334
5,2,-1,3,5420,0.15350553505535056,0.008118081180811807
5,2,-1,4,5420,0.06420664206642067,0.0018450184501845018
5,2,-1,5,5420,0.026568265682656828,0.00036900369003690036
5,2,-1,6,5420,0.010701107011070111,0.0
5,2,-1,7,5420,0.004797047970479705,0.0
5,2,-1,8,5420,0.0009225092250922509,0.0
5,2,-1,9,5420,0.00018450184501845018,0.0
5,2,-1,10,5420,0.00018450184501845018,0.0
5,2,0,2,5420,0.3359778597785978,0.032103321033210334
5,2,0,3,5420,0.15350553505535056,0.008118081180811807
5,2,0,4,5420,0.06420664206642067,0.0018450184501845018
5,2,0,5,5420,0.026568265682656828,0.00036900369003690036
5,2,0,6,5420,0.010701107011070111,0.0
5,2,0,7,5420,0.004797047970479705,0.0
5,2,0,8,5420,0.0009225092250922509,0.0
5,2,0,9,5420,0.00018450184501845018,0.0
5,2,0,10,5420,0.00018450184501845018,0.0
5,2,1,2,5420,0.3359778597785978,0.032103321033210334
5,2,1,3,5420,0.15350553505535056,0.008118081180811807
5,2,1,4,5420,0.06420664206642067,0.0018450184501845018
5,2,1,5,5420,0.026568265682656828,0.00036900369003690036
5,2,1,6,5420,0.010701107011070111,0.0
5,2,1,7,5420,0.004797047970479705,0.0
5,2,1,8,5420,0.0009225092250922509,0.0
5,2,1,9,5420,0.00018450184501845018,0.0
5,2,1,10,5420,0.00018450184501845018,0.0
5,2,2,2,5420,0.3359778597785978,0.032103321033210334
5,2,2,3,5420,0.15350553505535056,0.008118081180811807
5,2,2,4,5420,0.06420664206642067,0.0018450184501845018
5,2,2,5,5420,0.026568265682656828,0.00036900369003690036
5,2,2,6,5420,0.010701107011070111,0.0
5,2,2,7,5420,0.004797047970479705,0.0
5,2,2,8,5420,0.0009225092250922509,0.0
5,2,2,9,5420,0.00018450184501845018,0.0
5,2,2,10,5420,0.00018450184501845018,0.0
5,2,3,2,5420,0.3359778597785978,0.032103321033210334
5,2,3,3,5420,0.15350553505535056,0.008118081180811807
