arm,N,snv_offset,n_loci,mean,p10,p25,median,p75,p90,frac_loci_at_100pct,frac_loci_at_95pct,frac_loci_at_50pct
BWA-no-clip,10,5,5420.0,0.696559879235156,0.5909090909090909,0.6636363636363637,0.7181818181818181,0.7545454545454545,0.7727272727272727,0.0,0.0,0.9691881918819188
BWA-no-clip,10,6,5420.0,0.7141982556189198,0.6181818181818182,0.6818181818181818,0.7363636363636363,0.7636363636363637,0.7909090909090909,0.0,0.0,0.9749077490774908
BWA-no-clip,10,10,5420.0,0.7704008721905401,0.6727272727272727,0.7454545454545455,0.7909090909090909,0.8181818181818182,0.8454545454545455,0.0,0.0,0.9924354243542436
BWA-no-clip,10,11,5420.0,0.7766236162361624,0.6818181818181818,0.7545454545454545,0.7909090909090909,0.8181818181818182,0.8454545454545455,0.0,0.0,0.9935424354243543
BWA-no-clip,20,-1,5420.0,0.7766169070781616,0.6818181818181818,0.7545454545454545,0.7909090909090909,0.8181818181818182,0.8454545454545455,0.0,0.0,0.9935424354243543
BWA-no-clip,20,1,5420.0,0.539959745051996,0.41818181818181815,0.4727272727272727,0.5363636363636364,0.6181818181818182,0.6636363636363637,0.0,0.0,0.6509225092250922
BWA-no-clip,20,2,5420.0,0.6143123113049312,0.5,0.5636363636363636,0.6272727272727273,0.6818181818181818,0.7090909090909091,0.0,0.0,0.9027675276752768
BWA-no-clip,20,3,5420.0,0.6430023482053002,0.5181818181818182,0.6,0.6636363636363637,0.7,0.7363636363636363,0.0,0.0,0.9308118081180812
BWA-no-clip,20,4,5420.0,0.6713217041261321,0.5454545454545454,0.6363636363636364,0.6909090909090909,0.7272727272727273,0.7636363636363637,0.0,0.0,0.9400369003690037
BWA-no-clip,20,5,5420.0,0.6965548473666555,0.5909090909090909,0.6636363636363637,0.7181818181818181,0.7545454545454545,0.7727272727272727,0.0,0.0,0.9690036900369003
BWA-no-clip,20,6,5420.0,0.7141915464609192,0.6181818181818182,0.6818181818181818,0.7363636363636363,0.7636363636363637,0.7909090909090909,0.0,0.0,0.9749077490774908
BWA-no-clip,20,10,5420.0,0.7703941630325394,0.6727272727272727,0.7454545454545455,0.7909090909090909,0.8181818181818182,0.8454545454545455,0.0,0.0,0.9924354243542436
BWA-no-clip,20,11,5420.0,0.7766169070781616,0.6818181818181818,0.7545454545454545,0.7909090909090909,0.8181818181818182,0.8454545454545455,0.0,0.0,0.9935424354243543
BWA-std,5,-1,5420.0,0.2708772224085877,0.2636363636363636,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
BWA-std,5,1,5420.0,0.12951358604495133,0.11818181818181818,0.11818181818181818,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0
BWA-std,5,2,5420.0,0.13579000335457897,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0
BWA-std,5,3,5420.0,0.135840322039584,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0
BWA-std,5,4,5420.0,0.14388460248238846,0.13636363636363635,0.14545454545454545,0.14545454545454545,0.14545454545454545,0.14545454545454545,0.0,0.0,0.0
BWA-std,5,5,5420.0,0.13528178463602814,0.12727272727272726,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0
BWA-std,5,6,5420.0,0.15310130828581012,0.14545454545454545,0.15454545454545454,0.15454545454545454,0.15454545454545454,0.15454545454545454,0.0,0.0,0.0
BWA-std,5,10,5420.0,0.261620261657162,0.2545454545454545,0.2636363636363636,0.2636363636363636,0.2636363636363636,0.2636363636363636,0.0,0.0,0.0
BWA-std,5,11,5420.0,0.2708772224085877,0.2636363636363636,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
BWA-std,10,-1,5420.0,0.2708973498825897,0.2636363636363636,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
BWA-std,10,1,5420.0,0.12951358604495133,0.11818181818181818,0.11818181818181818,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0
BWA-std,10,2,5420.0,0.13572291177457227,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0
BWA-std,10,3,5420.0,0.13577658503857762,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0
BWA-std,10,4,5420.0,0.14383931566588395,0.13636363636363635,0.14545454545454545,0.14545454545454545,0.14545454545454545,0.14545454545454545,0.0,0.0,0.0
