pind,arm,delta,correct
408,BWA-no-clip,-4,0.8
408,BWA-std,-4,0.2
408,NW-flex,-4,1.0
408,BWA-no-clip,-3,0.8
408,BWA-std,-3,0.4
408,NW-flex,-3,1.0
408,BWA-no-clip,-2,0.9
408,BWA-std,-2,0.6
408,NW-flex,-2,1.0
408,BWA-no-clip,-1,0.9
408,BWA-std,-1,0.7
408,NW-flex,-1,1.0
408,BWA-no-clip,0,1.0
408,BWA-std,0,1.0
408,NW-flex,0,1.0
408,BWA-no-clip,1,1.0
408,BWA-std,1,0.7
408,NW-flex,1,1.0
408,BWA-no-clip,2,1.0
408,BWA-std,2,0.5
408,NW-flex,2,1.0
408,BWA-no-clip,3,1.0
408,BWA-std,3,0.3
408,NW-flex,3,1.0
408,BWA-no-clip,4,1.0
408,BWA-std,4,0.1
408,NW-flex,4,1.0
408,BWA-no-clip,5,1.0
408,BWA-std,5,0.0
408,NW-flex,5,1.0
409,BWA-no-clip,-5,0.7
409,BWA-std,-5,0.1
409,NW-flex,-5,1.0
409,BWA-no-clip,-4,0.8
409,BWA-std,-4,0.2
409,NW-flex,-4,1.0
409,BWA-no-clip,-3,0.8
409,BWA-std,-3,0.4
409,NW-flex,-3,1.0
409,BWA-no-clip,-2,0.9
409,BWA-std,-2,0.6
409,NW-flex,-2,1.0
409,BWA-no-clip,-1,0.9
409,BWA-std,-1,0.7
409,NW-flex,-1,1.0
409,BWA-no-clip,0,1.0
409,BWA-std,0,1.0
409,NW-flex,0,1.0
409,BWA-no-clip,1,1.0
409,BWA-std,1,0.7
409,NW-flex,1,1.0
409,BWA-no-clip,2,1.0
409,BWA-std,2,0.5
409,NW-flex,2,1.0
409,BWA-no-clip,3,1.0
409,BWA-std,3,0.3
409,NW-flex,3,1.0
409,BWA-no-clip,4,1.0
409,BWA-std,4,0.1
409,NW-flex,4,1.0
409,BWA-no-clip,5,1.0
409,BWA-std,5,0.0
409,NW-flex,5,1.0
410,BWA-no-clip,-5,0.6
410,BWA-std,-5,0.1
410,NW-flex,-5,1.0
410,BWA-no-clip,-4,0.7
410,BWA-std,-4,0.2
410,NW-flex,-4,1.0
410,BWA-no-clip,-3,0.7
410,BWA-std,-3,0.4
410,NW-flex,-3,1.0
410,BWA-no-clip,-2,0.7333333333333333
410,BWA-std,-2,0.5
410,NW-flex,-2,1.0
410,BWA-no-clip,-1,0.7
410,BWA-std,-1,0.7
410,NW-flex,-1,1.0
410,BWA-no-clip,0,1.0
410,BWA-std,0,1.0
410,NW-flex,0,1.0
410,BWA-no-clip,1,0.8
410,BWA-std,1,0.7
410,NW-flex,1,1.0
410,BWA-no-clip,2,0.8
410,BWA-std,2,0.5
410,NW-flex,2,1.0
410,BWA-no-clip,3,0.8
410,BWA-std,3,0.3
410,NW-flex,3,1.0
410,BWA-no-clip,4,0.8
410,BWA-std,4,0.1
410,NW-flex,4,1.0
410,BWA-no-clip,5,0.8
410,BWA-std,5,0.0
410,NW-flex,5,1.0
411,BWA-no-clip,-5,0.7
411,BWA-std,-5,0.1
411,NW-flex,-5,1.0
411,BWA-no-clip,-4,0.7
411,BWA-std,-4,0.2
411,NW-flex,-4,1.0
411,BWA-no-clip,-3,0.8
411,BWA-std,-3,0.4
411,NW-flex,-3,1.0
411,BWA-no-clip,-2,0.8
411,BWA-std,-2,0.6
411,NW-flex,-2,1.0
411,BWA-no-clip,-1,0.9
411,BWA-std,-1,0.7
411,NW-flex,-1,1.0
411,BWA-no-clip,0,1.0
411,BWA-std,0,1.0
411,NW-flex,0,1.0
411,BWA-no-clip,1,1.0
411,BWA-std,1,0.7
411,NW-flex,1,1.0
411,BWA-no-clip,2,1.0
411,BWA-std,2,0.5
411,NW-flex,2,1.0
411,BWA-no-clip,3,1.0
411,BWA-std,3,0.3
411,NW-flex,3,1.0
411,BWA-no-clip,4,1.0
411,BWA-std,4,0.1
411,NW-flex,4,1.0
411,BWA-no-clip,5,1.0
411,BWA-std,5,0.0
411,NW-flex,5,1.0
412,BWA-no-clip,-5,0.5
412,BWA-std,-5,0.1
412,NW-flex,-5,1.0
412,BWA-no-clip,-4,0.6
412,BWA-std,-4,0.2
412,NW-flex,-4,1.0
412,BWA-no-clip,-3,0.7
412,BWA-std,-3,0.4
412,NW-flex,-3,1.0
412,BWA-no-clip,-2,0.9
412,BWA-std,-2,0.6
412,NW-flex,-2,1.0
412,BWA-no-clip,-1,0.9
412,BWA-std,-1,0.7
412,NW-flex,-1,1.0
412,BWA-no-clip,0,1.0
412,BWA-std,0,1.0
412,NW-flex,0,1.0
412,BWA-no-clip,1,1.0
412,BWA-std,1,0.7
412,NW-flex,1,1.0
412,BWA-no-clip,2,1.0
412,BWA-std,2,0.5
412,NW-flex,2,1.0
412,BWA-no-clip,3,1.0
412,BWA-std,3,0.3
412,NW-flex,3,1.0
412,BWA-no-clip,4,1.0
412,BWA-std,4,0.1
412,NW-flex,4,1.0
412,BWA-no-clip,5,1.0
