pind,arm,snv_offset,correct
411,BWA-std,3,0.14545454545454545
411,NW-flex,3,1.0
411,BWA-no-clip,5,0.8636363636363636
411,BWA-std,5,0.2
411,NW-flex,5,1.0
411,BWA-no-clip,-1,0.9
411,BWA-std,-1,0.41818181818181815
411,NW-flex,-1,1.0
412,BWA-no-clip,0,0.7090909090909091
412,BWA-std,0,0.12727272727272726
412,NW-flex,0,1.0
412,BWA-no-clip,1,0.6636363636363637
412,BWA-std,1,0.12727272727272726
412,NW-flex,1,1.0
412,BWA-no-clip,10,0.8727272727272727
412,BWA-std,10,0.41818181818181815
412,NW-flex,10,1.0
412,BWA-no-clip,2,0.7363636363636363
412,BWA-std,2,0.13636363636363635
412,NW-flex,2,1.0
412,BWA-no-clip,3,0.8090909090909091
412,BWA-std,3,0.14545454545454545
412,NW-flex,3,1.0
412,BWA-no-clip,5,0.8636363636363636
412,BWA-std,5,0.2
412,NW-flex,5,1.0
412,BWA-no-clip,-1,0.8727272727272727
412,BWA-std,-1,0.41818181818181815
412,NW-flex,-1,1.0
413,BWA-no-clip,0,0.4303030303030303
413,BWA-std,0,0.10909090909090909
413,NW-flex,0,0.7
413,BWA-no-clip,1,0.6545454545454545
413,BWA-std,1,0.12727272727272726
413,NW-flex,1,0.9939393939393939
413,BWA-no-clip,10,0.7666666666666667
413,BWA-std,10,0.4090909090909091
413,NW-flex,10,1.0
413,BWA-no-clip,2,0.5454545454545454
413,BWA-std,2,0.12727272727272726
413,NW-flex,2,1.0
413,BWA-no-clip,3,0.6757575757575758
413,BWA-std,3,0.13636363636363635
413,NW-flex,3,1.0
413,BWA-no-clip,5,0.6848484848484848
413,BWA-std,5,0.19090909090909092
413,NW-flex,5,1.0
413,BWA-no-clip,-1,0.7666666666666667
413,BWA-std,-1,0.4090909090909091
413,NW-flex,-1,1.0
414,BWA-no-clip,0,0.4636363636363636
414,BWA-std,0,0.10909090909090909
414,NW-flex,0,0.8
414,BWA-no-clip,1,0.6727272727272727
414,BWA-std,1,0.12727272727272726
414,NW-flex,1,0.996969696969697
414,BWA-no-clip,10,0.8
414,BWA-std,10,0.4090909090909091
