pind1,pind2,arm,bridge_len,correct
637,4284,BWA-no-clip,4,1.0
637,4284,BWA-std,4,1.0
637,4284,NW-flex,4,1.0
637,4284,BWA-no-clip,5,1.0
637,4284,BWA-std,5,1.0
637,4284,NW-flex,5,1.0
649,2650,BWA-no-clip,1,0.17355371900826447
649,2650,BWA-std,1,0.4628099173553719
649,2650,NW-flex,1,1.0
649,2650,BWA-no-clip,2,0.2892561983471074
649,2650,BWA-std,2,0.45454545454545453
649,2650,NW-flex,2,1.0
649,2650,BWA-no-clip,3,1.0
649,2650,BWA-std,3,1.0
649,2650,NW-flex,3,1.0
649,2650,BWA-no-clip,4,1.0
649,2650,BWA-std,4,1.0
649,2650,NW-flex,4,1.0
649,2650,BWA-no-clip,5,1.0
649,2650,BWA-std,5,1.0
649,2650,NW-flex,5,1.0
663,2873,BWA-no-clip,1,0.2066115702479339
663,2873,BWA-std,1,0.371900826446281
663,2873,NW-flex,1,1.0
663,2873,BWA-no-clip,2,0.8016528925619835
663,2873,BWA-std,2,0.8842975206611571
663,2873,NW-flex,2,1.0
663,2873,BWA-no-clip,3,0.7355371900826446
663,2873,BWA-std,3,0.7933884297520661
663,2873,NW-flex,3,1.0
663,2873,BWA-no-clip,4,0.9338842975206612
663,2873,BWA-std,4,0.9586776859504132
663,2873,NW-flex,4,1.0
663,2873,BWA-no-clip,5,1.0
663,2873,BWA-std,5,1.0
663,2873,NW-flex,5,1.0
669,3285,BWA-no-clip,1,0.23140495867768596
669,3285,BWA-std,1,0.4132231404958678
669,3285,NW-flex,1,1.0
669,3285,BWA-no-clip,2,0.8181818181818182
669,3285,BWA-std,2,0.8677685950413223
669,3285,NW-flex,2,1.0
669,3285,BWA-no-clip,3,1.0
669,3285,BWA-std,3,1.0
669,3285,NW-flex,3,1.0
669,3285,BWA-no-clip,4,1.0
669,3285,BWA-std,4,1.0
669,3285,NW-flex,4,1.0
669,3285,BWA-no-clip,5,1.0
669,3285,BWA-std,5,1.0
669,3285,NW-flex,5,1.0
672,4927,BWA-no-clip,1,0.6363636363636364
672,4927,BWA-std,1,0.6363636363636364
672,4927,NW-flex,1,1.0
672,4927,BWA-no-clip,2,0.628099173553719
672,4927,BWA-std,2,0.6363636363636364
672,4927,NW-flex,2,1.0
672,4927,BWA-no-clip,3,0.6198347107438017
672,4927,BWA-std,3,0.6446280991735537
672,4927,NW-flex,3,1.0
672,4927,BWA-no-clip,4,0.9008264462809917
672,4927,BWA-std,4,0.9008264462809917
672,4927,NW-flex,4,1.0
672,4927,BWA-no-clip,5,1.0
672,4927,BWA-std,5,1.0
672,4927,NW-flex,5,1.0
677,5254,BWA-no-clip,1,0.17355371900826447
677,5254,BWA-std,1,0.4132231404958678
677,5254,NW-flex,1,1.0
677,5254,BWA-no-clip,2,0.2892561983471074
677,5254,BWA-std,2,0.48760330578512395
677,5254,NW-flex,2,1.0
677,5254,BWA-no-clip,3,1.0
677,5254,BWA-std,3,1.0
677,5254,NW-flex,3,1.0
677,5254,BWA-no-clip,4,0.8016528925619835
677,5254,BWA-std,4,0.859504132231405
677,5254,NW-flex,4,1.0
677,5254,BWA-no-clip,5,1.0
677,5254,BWA-std,5,1.0
677,5254,NW-flex,5,1.0
682,6406,BWA-no-clip,1,0.2231404958677686
682,6406,BWA-std,1,0.4049586776859504
682,6406,NW-flex,1,1.0
682,6406,BWA-no-clip,2,0.45454545454545453
682,6406,BWA-std,2,0.5454545454545454
682,6406,NW-flex,2,1.0
682,6406,BWA-no-clip,3,0.8760330578512396
682,6406,BWA-std,3,0.8677685950413223
682,6406,NW-flex,3,1.0
682,6406,BWA-no-clip,4,0.9669421487603306
682,6406,BWA-std,4,0.9504132231404959
682,6406,NW-flex,4,1.0
682,6406,BWA-no-clip,5,0.5537190082644629
682,6406,BWA-std,5,0.6942148760330579
682,6406,NW-flex,5,1.0
703,5717,BWA-no-clip,1,0.5619834710743802
703,5717,BWA-std,1,0.6528925619834711
703,5717,NW-flex,1,1.0
703,5717,BWA-no-clip,2,1.0
703,5717,BWA-std,2,1.0
703,5717,NW-flex,2,1.0
703,5717,BWA-no-clip,3,1.0
703,5717,BWA-std,3,1.0
703,5717,NW-flex,3,1.0
703,5717,BWA-no-clip,4,0.9008264462809917
703,5717,BWA-std,4,0.9338842975206612
703,5717,NW-flex,4,1.0
703,5717,BWA-no-clip,5,1.0
703,5717,BWA-std,5,1.0
703,5717,NW-flex,5,1.0
708,2215,BWA-no-clip,1,0.30578512396694213
